data_origin,date,terms,counts,scaled_counts,total_tokens,title
Computers and the Humanities,1975-11-01,tool,2,0.19737628391251466,32078,Computers and the Humanities
Computers and the Humanities,1976-01-01,infrastructure,0,0.0,59056,Computers and the Humanities
Computers and the Humanities,1976-01-01,tool,5,0.4032692822632378,59056,Computers and the Humanities
Computers and the Humanities,1976-03-01,infrastructure,0,0.0,65568,Computers and the Humanities
Computers and the Humanities,1976-03-01,tool,4,0.1942171842905059,65568,Computers and the Humanities
Computers and the Humanities,1976-05-01,infrastructure,0,0.0,35800,Computers and the Humanities
Computers and the Humanities,1976-05-01,tool,8,0.2712467820587762,35800,Computers and the Humanities
Computers and the Humanities,1976-07-01,infrastructure,0,0.0,46578,Computers and the Humanities
Computers and the Humanities,1976-07-01,tool,2,0.13262425832534708,46578,Computers and the Humanities
Computers and the Humanities,1976-09-01,infrastructure,0,0.0,62714,Computers and the Humanities
Computers and the Humanities,1976-09-01,tool,5,0.279866240877389,62714,Computers and the Humanities
Computers and the Humanities,1976-11-01,infrastructure,0,0.0,44378,Computers and the Humanities
Computers and the Humanities,1976-11-01,tool,8,0.34886441977849186,44378,Computers and the Humanities
Computers and the Humanities,1977-01-01,infrastructure,0,0.0,50932,Computers and the Humanities
Computers and the Humanities,1977-01-01,tool,3,0.3214762527924284,50932,Computers and the Humanities
Computers and the Humanities,1977-03-01,infrastructure,0,0.0,70182,Computers and the Humanities
Computers and the Humanities,1977-03-01,tool,2,0.11507177382847297,70182,Computers and the Humanities
Computers and the Humanities,1977-05-01,infrastructure,0,0.0,25990,Computers and the Humanities
Computers and the Humanities,1977-05-01,tool,5,0.2645322002945793,25990,Computers and the Humanities
Computers and the Humanities,1977-07-01,infrastructure,0,0.0,66702,Computers and the Humanities
Computers and the Humanities,1977-07-01,tool,3,0.07848529156558887,66702,Computers and the Humanities
Computers and the Humanities,1977-09-01,infrastructure,0,0.0,46736,Computers and the Humanities
Computers and the Humanities,1977-09-01,tool,3,0.33603999373619914,46736,Computers and the Humanities
Computers and the Humanities,1977-11-01,infrastructure,0,0.0,54674,Computers and the Humanities
Computers and the Humanities,1977-11-01,tool,6,0.8213345306044596,54674,Computers and the Humanities
Computers and the Humanities,1978-01-01,infrastructure,0,0.0,232792,Computers and the Humanities
Computers and the Humanities,1978-01-01,tool,29,0.700604006598974,232792,Computers and the Humanities
Computers and the Humanities,1979-01-01,infrastructure,0,0.0,62150,Computers and the Humanities
Computers and the Humanities,1979-01-01,tool,4,0.3041779467905682,62150,Computers and the Humanities
Computers and the Humanities,1979-04-01,infrastructure,0,0.0,70378,Computers and the Humanities
Computers and the Humanities,1979-04-01,tool,12,0.23419567130332944,70378,Computers and the Humanities
Computers and the Humanities,1979-07-01,infrastructure,0,0.0,90156,Computers and the Humanities
Computers and the Humanities,1979-07-01,tool,10,0.3161782530059731,90156,Computers and the Humanities
Computers and the Humanities,1979-10-01,infrastructure,0,0.0,68634,Computers and the Humanities
Computers and the Humanities,1979-10-01,tool,4,0.07952199769086984,68634,Computers and the Humanities
Computers and the Humanities,1980-06-01,infrastructure,0,0.0,38074,Computers and the Humanities
Computers and the Humanities,1980-06-01,tool,3,0.1471280453968647,38074,Computers and the Humanities
Computers and the Humanities,1980-10-01,infrastructure,0,0.0,32348,Computers and the Humanities
Computers and the Humanities,1980-10-01,tool,7,0.7882497549800949,32348,Computers and the Humanities
Computers and the Humanities,1980-11-01,infrastructure,0,0.0,53652,Computers and the Humanities
Computers and the Humanities,1980-11-01,tool,4,0.04658289950489064,53652,Computers and the Humanities
Computers and the Humanities,1980-12-01,infrastructure,0,0.0,26580,Computers and the Humanities
Computers and the Humanities,1980-12-01,tool,0,0.0,26580,Computers and the Humanities
Computers and the Humanities,1981-06-01,infrastructure,0,0.0,67976,Computers and the Humanities
Computers and the Humanities,1981-06-01,tool,4,0.33214034719433394,67976,Computers and the Humanities
Computers and the Humanities,1981-08-01,infrastructure,0,0.0,61150,Computers and the Humanities
Computers and the Humanities,1981-08-01,tool,4,0.11857706262440038,61150,Computers and the Humanities
Computers and the Humanities,1981-11-01,infrastructure,0,0.0,52966,Computers and the Humanities
Computers and the Humanities,1981-11-01,tool,4,0.18942292369828118,52966,Computers and the Humanities
Computers and the Humanities,1981-12-01,infrastructure,0,0.0,42702,Computers and the Humanities
Computers and the Humanities,1981-12-01,tool,1,0.010115314586283633,42702,Computers and the Humanities
Computers and the Humanities,1982-09-01,infrastructure,0,0.0,54706,Computers and the Humanities
Computers and the Humanities,1982-09-01,tool,4,0.203502233982107,54706,Computers and the Humanities
Computers and the Humanities,1982-10-01,infrastructure,0,0.0,40898,Computers and the Humanities
Computers and the Humanities,1982-10-01,tool,5,0.31168759593194056,40898,Computers and the Humanities
Computers and the Humanities,1982-11-01,infrastructure,0,0.0,36478,Computers and the Humanities
Computers and the Humanities,1982-11-01,tool,5,0.33993460741918696,36478,Computers and the Humanities
Computers and the Humanities,1982-12-01,infrastructure,0,0.0,68702,Computers and the Humanities
Computers and the Humanities,1982-12-01,tool,7,0.19472120256633302,68702,Computers and the Humanities
Computers and the Humanities,1983-03-01,infrastructure,0,0.0,58892,Computers and the Humanities
Computers and the Humanities,1983-03-01,tool,0,0.0,58892,Computers and the Humanities
Computers and the Humanities,1983-06-01,infrastructure,0,0.0,22770,Computers and the Humanities
Computers and the Humanities,1983-06-01,tool,4,0.10646495716574937,22770,Computers and the Humanities
Computers and the Humanities,1983-09-01,infrastructure,0,0.0,57188,Computers and the Humanities
Computers and the Humanities,1983-09-01,tool,7,0.2176333162862715,57188,Computers and the Humanities
Computers and the Humanities,1983-12-01,infrastructure,0,0.0,44990,Computers and the Humanities
Computers and the Humanities,1983-12-01,tool,2,0.10878745170410883,44990,Computers and the Humanities
Computers and the Humanities,1984-01-01,infrastructure,0,0.0,36676,Computers and the Humanities
Computers and the Humanities,1984-01-01,tool,2,0.05417752728512919,36676,Computers and the Humanities
Computers and the Humanities,1984-04-01,infrastructure,0,0.0,58022,Computers and the Humanities
Computers and the Humanities,1984-04-01,tool,7,0.5724685502119714,58022,Computers and the Humanities
Computers and the Humanities,1984-07-01,infrastructure,0,0.0,97892,Computers and the Humanities
Computers and the Humanities,1984-07-01,tool,12,0.4997211427590676,97892,Computers and the Humanities
Computers and the Humanities,1985-01-01,infrastructure,0,0.0,33626,Computers and the Humanities
Computers and the Humanities,1985-01-01,tool,7,0.5030345608629259,33626,Computers and the Humanities
Computers and the Humanities,1985-04-01,infrastructure,0,0.0,41866,Computers and the Humanities
Computers and the Humanities,1985-04-01,tool,2,0.08416654712489084,41866,Computers and the Humanities
Computers and the Humanities,1985-07-01,infrastructure,0,0.0,51452,Computers and the Humanities
Computers and the Humanities,1985-07-01,tool,3,0.07850375393029396,51452,Computers and the Humanities
Computers and the Humanities,1985-10-01,infrastructure,0,0.0,48148,Computers and the Humanities
Computers and the Humanities,1985-10-01,tool,4,0.11670048746619463,48148,Computers and the Humanities
Computers and the Humanities,1986-01-01,infrastructure,0,0.0,63038,Computers and the Humanities
Computers and the Humanities,1986-01-01,tool,3,0.07902995642884324,63038,Computers and the Humanities
Computers and the Humanities,1986-04-01,infrastructure,0,0.0,57698,Computers and the Humanities
Computers and the Humanities,1986-04-01,tool,9,0.42354943843208104,57698,Computers and the Humanities
Computers and the Humanities,1986-07-01,infrastructure,0,0.0,32580,Computers and the Humanities
Computers and the Humanities,1986-07-01,tool,4,0.28420810900941756,32580,Computers and the Humanities
Computers and the Humanities,1986-10-01,infrastructure,0,0.0,35528,Computers and the Humanities
Computers and the Humanities,1986-10-01,tool,2,0.09309668661364626,35528,Computers and the Humanities
Computers and the Humanities,1987-01-01,infrastructure,0,0.0,31094,Computers and the Humanities
Computers and the Humanities,1987-01-01,tool,2,0.14189968391959476,31094,Computers and the Humanities
Computers and the Humanities,1987-04-01,infrastructure,0,0.0,57750,Computers and the Humanities
Computers and the Humanities,1987-04-01,tool,6,0.6558968094449544,57750,Computers and the Humanities
Computers and the Humanities,1987-07-01,infrastructure,0,0.0,22454,Computers and the Humanities
Computers and the Humanities,1987-07-01,tool,1,0.015681354869060686,22454,Computers and the Humanities
Computers and the Humanities,1987-10-01,infrastructure,0,0.0,68596,Computers and the Humanities
