commit_author_name,commit_author_date,stats_total,stats_additions,stats_deletions
ZoeLeBlanc,2021-02-23 21:28:35+00:00,8,6,2
ZoeLeBlanc,2021-02-23 14:45:00+00:00,72,37,35
ZoeLeBlanc,2021-02-23 03:30:47+00:00,134,75,59
JR Ladd,2021-02-18 21:38:36+00:00,630,428,202
JR Ladd,2021-02-18 21:35:59+00:00,4,0,4
JR Ladd,2021-02-18 21:34:31+00:00,7,5,2
JR Ladd,2021-02-18 21:26:12+00:00,4,3,1
JR Ladd,2021-02-18 16:58:48+00:00,6,3,3
ZoeLeBlanc,2021-02-17 22:36:29+00:00,3,3,0
ZoeLeBlanc,2021-02-17 22:09:03+00:00,30,16,14
ZoeLeBlanc,2021-02-16 23:14:04+00:00,330,221,109
ZoeLeBlanc,2021-02-09 16:04:49+00:00,231,123,108
JR Ladd,2021-02-08 21:54:25+00:00,6,3,3
JR Ladd,2021-02-08 21:49:49+00:00,9,7,2
JR Ladd,2021-02-08 20:42:53+00:00,7,5,2
JR Ladd,2021-02-05 22:22:51+00:00,43,22,21
JR Ladd,2021-02-05 22:08:02+00:00,4,4,0
JR Ladd,2021-02-05 22:00:44+00:00,8,8,0
JR Ladd,2021-02-05 21:40:29+00:00,6,4,2
JR Ladd,2021-02-05 21:25:05+00:00,4,2,2
JR Ladd,2021-02-05 21:15:52+00:00,8,6,2
JR Ladd,2021-02-04 21:05:48+00:00,144,104,40
JR Ladd,2021-02-02 22:40:14+00:00,12,6,6
ZoeLeBlanc,2021-02-02 19:53:15+00:00,0,0,0
ZoeLeBlanc,2021-02-02 19:53:10+00:00,32,28,4
ZoeLeBlanc,2021-02-02 19:52:18+00:00,18,7,11
JR Ladd,2021-02-01 23:58:06+00:00,34,29,5
ZoeLeBlanc,2021-01-27 16:57:29+00:00,167,120,47
ZoeLeBlanc,2021-01-26 21:13:37+00:00,139,88,51
ZoeLeBlanc,2021-01-26 16:46:42+00:00,14,6,8
ZoeLeBlanc,2021-01-26 16:45:52+00:00,65,32,33
JR Ladd,2021-01-14 22:37:47+00:00,4,2,2
JR Ladd,2021-01-14 22:29:16+00:00,2,2,0
JR Ladd,2021-01-14 22:26:25+00:00,10,3,7
JR Ladd,2021-01-04 23:17:29+00:00,4,2,2
JR Ladd,2021-01-04 22:43:22+00:00,23,18,5
JR Ladd,2020-12-31 17:54:51+00:00,18,14,4
JR Ladd,2020-12-31 17:15:05+00:00,17,17,0
JR Ladd,2020-12-30 17:34:23+00:00,94,79,15
JR Ladd,2020-12-30 17:31:31+00:00,2,1,1
JR Ladd,2020-12-23 17:13:47+00:00,9,9,0
JR Ladd,2020-12-23 16:53:53+00:00,21,17,4
JR Ladd,2020-12-22 23:01:18+00:00,9,9,0
JR Ladd,2020-12-22 22:55:34+00:00,49,41,8
JR Ladd,2020-12-22 22:09:53+00:00,6,3,3
JR Ladd,2020-12-22 21:45:22+00:00,2,1,1
ZoeLeBlanc,2020-12-21 19:54:13+00:00,907,594,313
ZoeLeBlanc,2020-12-21 19:53:34+00:00,4,4,0
ZoeLeBlanc,2020-12-21 19:52:11+00:00,2,2,0
ZoeLeBlanc,2020-12-21 19:50:09+00:00,2,1,1
ZoeLeBlanc,2020-12-17 17:41:09+00:00,40,21,19
ZoeLeBlanc,2020-12-16 23:00:15+00:00,125,81,44
ZoeLeBlanc,2020-12-16 20:29:13+00:00,95,2,93
ZoeLeBlanc,2020-12-16 20:08:59+00:00,487,320,167
ZoeLeBlanc,2020-12-11 17:14:00+00:00,0,0,0
ZoeLeBlanc,2020-12-11 17:13:56+00:00,271,175,96
JR Ladd,2020-12-08 21:34:27+00:00,56,48,8
ZoeLeBlanc,2020-12-08 16:14:41+00:00,271,136,135
ZoeLeBlanc,2020-12-04 18:27:45+00:00,20,8,12
