commit_author_name,commit_author_date,value,type
JR Ladd,2021-05-04 14:59:30+00:00,29,additions
JR Ladd,2021-05-02 15:13:22+00:00,0,additions
JR Ladd,2021-05-02 15:12:47+00:00,100,additions
JR Ladd,2021-04-30 21:27:41+00:00,9,additions
JR Ladd,2021-04-30 21:15:52+00:00,46,additions
JR Ladd,2021-04-30 19:50:38+00:00,1,additions
JR Ladd,2021-04-30 17:16:06+00:00,1,additions
JR Ladd,2021-04-30 17:11:43+00:00,46,additions
JR Ladd,2021-04-29 21:52:36+00:00,57,additions
JR Ladd,2021-04-29 20:33:32+00:00,2,additions
JR Ladd,2021-04-29 20:09:46+00:00,14,additions
JR Ladd,2021-04-29 18:49:00+00:00,21,additions
JR Ladd,2021-04-29 18:19:12+00:00,1,additions
JR Ladd,2021-04-29 17:19:17+00:00,47,additions
JR Ladd,2021-04-28 22:53:53+00:00,20,additions
JR Ladd,2021-04-28 21:27:52+00:00,37,additions
JR Ladd,2021-04-26 21:19:42+00:00,5,additions
JR Ladd,2021-04-23 22:58:07+00:00,1,additions
JR Ladd,2021-04-23 22:25:04+00:00,51,additions
JR Ladd,2021-04-10 22:58:49+00:00,20,additions
JR Ladd,2021-04-10 22:15:01+00:00,9,additions
JR Ladd,2021-04-10 22:09:05+00:00,10,additions
JR Ladd,2021-04-10 19:40:29+00:00,10,additions
JR Ladd,2021-04-10 18:21:17+00:00,8,additions
JR Ladd,2021-04-10 18:08:14+00:00,11,additions
JR Ladd,2021-04-10 17:01:51+00:00,7,additions
JR Ladd,2021-04-10 16:44:37+00:00,14,additions
JR Ladd,2021-04-10 16:32:30+00:00,1,additions
JR Ladd,2021-04-08 20:51:24+00:00,12,additions
JR Ladd,2021-04-08 20:49:01+00:00,18,additions
JR Ladd,2021-04-07 19:46:34+00:00,1,additions
JR Ladd,2021-04-07 19:29:24+00:00,1,additions
JR Ladd,2021-04-07 19:26:03+00:00,1,additions
JR Ladd,2021-04-07 17:39:03+00:00,8,additions
JR Ladd,2021-04-07 17:27:23+00:00,4,additions
JR Ladd,2021-04-02 20:16:17+00:00,7,additions
JR Ladd,2021-04-02 18:08:39+00:00,18,additions
JR Ladd,2021-04-02 17:28:48+00:00,4,additions
JR Ladd,2021-04-02 17:15:08+00:00,1,additions
JR Ladd,2021-04-02 17:12:32+00:00,42,additions
JR Ladd,2021-03-11 23:13:44+00:00,2,additions
JR Ladd,2021-03-11 23:11:48+00:00,1,additions
JR Ladd,2021-03-11 22:59:18+00:00,353,additions
ZoeLeBlanc,2021-03-11 17:51:27+00:00,5,additions
ZoeLeBlanc,2021-03-11 17:25:31+00:00,135,additions
