year,total_counts,frequency_tools_lower,ratio
2009,21,13,0.6190476190476191
2010,73,32,0.4383561643835616
2011,171,48,0.2807017543859649
2012,245,77,0.3142857142857143
2014,281,78,0.2775800711743772
