date,tool,counts,scaled_counts,data_origin,title
2006-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2006-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2007-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2008-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2009-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2010-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Gephi,6,0.47760260469895727,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2011-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Gephi,4,0.1824625491389872,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2012-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Gephi,22,0.9524277811429616,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Neo4j,6,0.2593195611025493,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2013-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Cytoscape,2,0.10471204188481677,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Gephi,20,1.69532153735211,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Graphviz,1,0.11918951132300357,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Neo4j,6,0.38690449926186843,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,Textexture,3,0.12200081333875558,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2014-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Cytoscape,2,0.05635434864264956,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Gephi,19,0.5985005807065737,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Graphviz,2,0.0524339450920675,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Neo4j,4,0.20624372532741927,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,NetworkX,1,0.023142791020597086,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,NodeXL,11,0.34775007601094554,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Palladio,17,0.42462610425476205,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,igraph,6,0.20394804886991444,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,nodegoat,3,0.1,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2015-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Gephi,46,2.581458870317031,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Neo4j,13,0.7921962718359601,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,NetworkX,2,0.09394081728511039,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,NodeXL,1,0.08880994671403197,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Palladio,3,0.21100220838627956,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,igraph,1,0.018214936247723135,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,nodegoat,24,1.5841311962223596,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2016-01-01,sigma.js,2,0.14289880859034357,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Cytoscape,5,0.4051444193197966,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Gephi,46,2.4231489454668527,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Neo4j,5,0.2657555049354594,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,NodeXL,1,0.0407000407000407,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Palladio,2,0.16820857863751051,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,Textexture,2,0.07864726700747149,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,nodegoat,31,3.337747033917903,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2017-01-01,sigma.js,2,0.1440639818702512,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2018-01-01,Cytoscape,1,0.16260162601626016,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2018-01-01,Gephi,22,1.2103396778758195,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2018-01-01,Graphviz,1,0.023629489603024575,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2018-01-01,Neo4j,9,0.6141272389711468,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
2018-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
